ID,Last Contact,City State,Location,Sex,Missing Age From,Missing Age To,Current Age From,Current Age To,Ethnicity,Height,Weight,Hair Color,Left Eye Color,Right Eye Color,Clothing,Physical Features
MP20115,2013-01-02,"Haena, Hawaii","(22.2033221, -159.4977455)",Male,42,42,53,53,White / Caucasian,74.0,220.0,Brown,Brown,Brown,,
MP26345,2013-06-08,"Kekaha, Hawaii","(21.9708333, -159.715)",Male,33,33,45,45,Asian,62.0,165.0,Black,Brown,Brown,,"Tattoo: ""Jamie's Boy"" on his right arm; a Tao symbol on his left arm, an image of the Hawaiian Islands on the small of his back"
MP5176,2008-09-23,"Hilo, Hawaii","(19.7241106, -155.0868193)",Female,33,33,49,49,Asian,67.0,180.0,Brown,Brown,Brown,"Marlo wears casual clothing; usually denim shorts, skirts or jeans.  She was last seen wearing shorts and a pink tank top","Piercing: Marlo's ears are pierced.
Scar/mark: Marlo has 2 parallel horizontal scars about 3 inches long on her upper left arm (a few inches below her shoulder). She has a mole on her upper left cheek and another one on her lower right cheek.
Tattoo: Marlo has a hot pink colored tattoo ""Sassy"" on the inside of one of her ankles."
MP5151,1983-05-29,"Maui, Hawaii","(20.7983626, -156.3319253)",Male,30,30,71,71,White / Caucasian,72.0,180.0,Red/Auburn,Blue,Blue,,
MP32896,2012-05-25,"Pahoa, Hawaii","(19.4975033, -154.9508104)",Male,60,60,73,73,White / Caucasian,72.0,160.0,Brown,Blue,Blue,,
MP35253,2007-11-07,"Puna, Hawaii","(19.7241106, -155.0868193)",Male,42,42,59,59,White / Caucasian,69.0,165.0,Gray or Partially Gray,Blue,Blue,,"Scar/mark: Scar on chest from childhood surgery
Tattoo: Grim reaper on right forearm
girl with a surfboard on back of left calf"
MP30339,2015-09-17,"Hawi, Hawaii","(20.2413889, -155.8327778)",Male,55,55,64,64,Asian,67.0,165.0,Black,Brown,Brown,,
MP28512,2015-04-26,"Kailua Kona, Hawaii","(19.639994, -155.9969261)",Male,28,28,38,38,Asian,64.0,190.0,Black,Brown,Brown,"Unknown
Unknown","Tattoo: ""Amy"" on shoulder"
MP35385,2006-03-13,"Kauai, Hawaii","(22.0964396, -159.5261238)",Male,33,33,52,52,White / Caucasian,71.0,175.0,Brown,Blue,Blue,,
MP35386,2006-03-13,"Kauai, Hawaii","(22.0964396, -159.5261238)",Male,1,1,20,20,White / Caucasian,33.0,24.0,Brown,,,,
MP41687,2017-09-17,"Haena, Hawaii","(22.1997098, -159.5112273)",Male,46,46,53,53,,67.0,175.0,Black,Brown,Brown,,
MP38028,2017-04-24,"Hilo, Hawaii","(19.7241106, -155.0868193)",Female,68,68,76,76,White / Caucasian,64.0,170.0,White,Hazel,Hazel,"blue shoulder bag
Orange and yellow dress with dark colored sweater
open sandals",
MP42260,2014-01-16,"Hanalei, Hawaii","(22.2033221, -159.4977455)",Male,60,60,71,71,White / Caucasian,70.0,145.0,Blond/Strawberry,Blue,Blue,,Tattoo: Marijuana leaf
MP51850,1982-01-25,"Honolulu, Hawaii","(21.2877723, -157.8241911)",Female,83,83,126,126,,58.0,85.0,Gray or Partially Gray,Brown,Brown,,
MP58161,2018-02-22,"Kapaa, Hawaii","(22.0881391, -159.3379818)",Male,24,24,31,31,White / Caucasian,72.0,160.0,Brown,Hazel,Hazel,,Tattoo: Underside of left forearm of Kundalini Staff of Life.
MP52084,1983-01-01,"Honolulu, Hawaii","(21.3136151, -157.8480364)",Female,36,36,78,78,White / Caucasian,61.0,175.0,Red/Auburn,Green,Green,,
MP57664,2018-05-03,"Lihue, Hawaii","(21.9811111, -159.3711111)",Male,42,42,48,48,Hispanic / Latino,68.0,180.0,Black,Brown,Brown,,"Tattoo: BPS tattoo on stomach
Tattoo: Mouse tattoo on back"
MP58319,2019-06-23,"Wailua, Hawaii","(22.0522222, -159.3377778)",Male,58,58,64,64,,67.0,180.0,Gray or Partially Gray,Brown,Brown,,
MP65777,2020-02-07,"Haleiwa, Hawaii","(21.5927614, -158.1034112)",Female,20,20,25,25,White / Caucasian,66.0,120.0,Blond/Strawberry,Blue,Blue,Black long sleeve wetsuit,
MP68609,2011-11-16,"Haleiwa, Hawaii","(21.5927614, -158.1034112)",Male,50,50,63,63,White / Caucasian,72.0,175.0,Brown,Blue,Blue,,
